frequency	language	identifier	gloss	lexeme
17	None	BRKH=/	pool	בְּרֵכָה
17	None	BKWRJM/	first fruits	בִּכּוּרִים
17	None	BL<DJ	without	בִּלְעֲדֵי
17	None	B>C[	stink	באשׁ
17	None	BY<[	cut off	בצע
17	None	GRCWN/	Gershon	גֵּרְשֹׁון
17	None	GNB/	thief	גַּנָּב
17	None	GBH=/	height	גֹּבַהּ
17	None	GLL[	roll	גלל
17	None	DRWM/	south	דָּרֹום
17	None	HJMN/	Heman	הֵימָן
17	None	XJDH/	riddle	חִידָה
17	None	XRF/	clay	חֶרֶשׂ
17	None	XPCJ/	free	חָפְשִׁי
17	None	XRB===/	Horeb	חֹרֵב
17	None	XPR[	be ashamed	חפר
17	None	XCK[	be dark	חשׁך
17	None	VWBJH/	Tobijah	טֹובִיָּה
17	None	JHW>C/	Jehoash	יְהֹואָשׁ
17	None	JSWD/	foundation	יְסֹוד
17	None	JQR=/	preciousness	יְקָר
17	None	JD/	hand	יַד
17	None	JWYR/	potter	יֹוצֵר
17	None	KTB/	writing	כְּתָב
17	None	KL>[	restrain	כלא
17	None	KTT[	crush	כתת
17	None	LHBH/	flame	לֶהָבָה
17	None	MSGRT/	bulwark	מִסְגֶּרֶת
17	None	MFGB/	secure height	מִשְׂגָּב
17	None	MCXJT/	destruction	מַשְׁחִית
17	None	MTNH/	present	מַתָּנָה
17	None	MKWN/	site	מָכֹון
17	None	MFWF/	joy	מָשֹׂושׂ
17	None	MWG[	faint	מוג
17	None	MVR[	rain	מטר
17	None	MRR[	be bitter	מרר
17	None	NJNWH/	Nineveh	נִינְוֵה
17	None	NZM/	nose-ring	נֶזֶם
17	None	NQM/	vengeance	נָקָם
17	None	NTJN/	temple slave	נָתִין
17	None	NDB[	incite	נדב
17	None	NWR/	fire	נוּר
17	None	NQP[	go around	נקף
17	None	SGN/	prefect	סָגָן
17	None	SRR[	rebel	סרר
17	None	<NQ/	neck	עֲנָק
17	None	<JP/	faint	עָיֵף
17	None	<MQ=/	deep	עָמֹק
17	None	<YB/	image	עָצָב
17	None	<WH[	do wrong	עוה
17	None	<RB[	stand bail	ערב
17	None	<CR[	become rich	עשׁר
17	None	PRX/	bud	פֶּרַח
17	None	YLM/	statue	צְלֵם
17	None	YLM/	image	צֶלֶם
17	None	YM>=/	thirst	צָמָא
17	None	YWD[	hunt	צוד
17	None	Q<RH/	platter	קְעָרָה
17	None	QLWN/	dishonour	קָלֹון
17	None	QDR[	be dark	קדר
17	None	RMF/	creeping animals	רֶמֶשׂ
17	None	R<C/	quaking	רַעַשׁ
17	None	RQJ</	firmament	רָקִיעַ
17	None	RKL[	trade	רכל
17	None	RMF[	creep	רמשׂ
17	None	CM=/	Shem	שֵׁם
17	None	CM</	hearsay	שֵׁמַע
17	None	C>WN/	roar	שָׁאֹון
17	None	CPL/	low	שָׁפָל
17	None	CWCN/	lily	שׁוּשַׁן
17	None	FN>H/	hatred	שִׂנְאָה
17	None	FRJ/	Sarai	שָׂרַי
17	None	TBN/	straw	תֶּבֶן
17	None	TP/	tambourine	תֹּף
16	None	>NH	I	אֲנָה
16	None	>LH/	big tree	אֵלָה
16	None	>BJR/	strong	אַבִּיר
16	None	>WB/	spirit of dead	אֹוב
16	None	>ZR[	put on	אזר
16	None	>TH[	come	אתה
16	None	BJRH/	citadel	בִּירָה
16	None	B<L[	own	בעל
16	None	B<T[	terrify	בעת
16	None	BRR[	purge	ברר
16	None	GDJ/	goat	גְּדִי
16	None	GNH/	garden	גַּנָּה
16	None	GDJ=/	Gadite	גָּדִי
16	None	DBJR/	backroom	דְּבִיר
16	None	DMH=[	be silent	דמה
16	None	HN	if	הֵן
16	None	HL>H	further	הָלְאָה
16	None	HRH/	pregnant	הָרָה
16	None	HWC</	Hosea	הֹושֵׁעַ
16	None	ZKRJHW/	Zechariah	זְכַרְיָהוּ
16	None	ZWLH/	except	זוּלָה
16	None	XMDH/	what is desirable	חֶמְדָּה
16	None	XYRWN/	Hezron	חֶצְרֹון
16	None	XM===/	Ham	חָם
16	None	XSR/	lacking	חָסֵר
16	None	XRB=/	dryness	חֹרֶב
16	None	XGG[	jump	חגג
16	None	XWR=/	Hur	חוּר
16	None	XCH[	be silent	חשׁה
16	None	VBL[	dip	טבל
16	None	JGJ</	toil	יְגִיעַ
16	None	JPNH/	Jephunneh	יְפֻנֶּה
16	None	JQB/	pit	יֶקֶב
16	None	JWM/	day	יֹום
16	None	JYG[	set	יצג
16	None	JCN=[	sleep	ישׁן
16	None	KN=/	base	כֵּן
16	None	KZB[	lie	כזב
16	None	LY/	scorner	לֵץ
16	None	MKSH/	covering	מִכְסֶה
16	None	MSPD/	wailing	מִסְפֵּד
16	None	MXYJT/	half	מַחֲצִית
16	None	MVRH/	target	מַטָּרָה
16	None	MK>WB/	pain	מַכְאֹוב
16	None	M<FJH/	Maaseiah	מַעֲשֵׂיָה
16	None	MF>T/	lifting up	מַשְׂאֵת
16	None	MDJ/	Media	מָדַי
16	None	MW>BJ/	Moabite	מֹואָבִי
16	None	NR=/	Ner	נֵר
16	None	N<MN/	Naaman	נַעֲמָן
16	None	NZJR/	singled out	נָזִיר
16	None	NC>=[	beguile	נשׁא
16	None	S<RH/	storm	סְעָרָה
16	None	SM/	perfume	סַם
16	None	<ZRJHW/	Azariahu	עֲזַרְיָהוּ
16	None	<MF>/	Amasa	עֲמָשָׂא
16	None	<RLH/	foreskin	עָרְלָה
16	None	<RWM/	naked	עָרֹום
16	None	<FWR/	a ten	עָשֹׂור
16	None	<Z=/	protection	עֹז
16	None	<ZJ>L/	Uzziel	עֻזִּיאֵל
16	None	<LZ[	rejoice	עלז
16	None	<NH==[	sing	ענה
16	None	PCT/	flax	פֵּשֶׁת
16	None	PR<[	let loose	פרע
16	None	YJH/	dry country	צִיָּה
16	None	YJB>/	Ziba	צִיבָא
16	None	YJDNJ/	Sidonian	צִידֹנִי
16	None	YMR/	wool	צֶמֶר
16	None	QL</	curtain	קֶלַע
16	None	QCR/	conspiracy	קֶשֶׁר
16	None	QJN=/	Kain	קַיִן
16	None	QC/	stubble	קַשׁ
16	None	RBBH/	multitude	רְבָבָה
16	None	RJQM	with empty hands	רֵיקָם
16	None	RB_CQH/	rabshake	רַב שָׁקֵה
16	None	RK/	tender	רַךְ
16	None	RGM[	stone	רגם
16	None	C>R/	body	שְׁאֵר
16	None	CBLT/	grain	שִׁבֹּלֶת
16	None	CPV/	judgment	שֶׁפֶט
16	None	CLJC=/	adjutant	שָׁלִישׁ
16	None	CWH[	be like	שׁוה
16	None	FBKH/	net	שְׂבָכָה
16	None	FKL/	insight	שֶׂכֶל
16	None	FLMH/	wrapper	שַׂלְמָה
16	None	TM/	complete	תָּם
15	None	>LJPZ/	Eliphaz	אֱלִיפַז
15	None	>HH	alas	אֲהָהּ
15	None	>XJVWB/	Ahitub	אֲחִיטוּב
15	None	>XJM<Y/	Ahimaaz	אֲחִימַעַץ
15	None	>PW	then	אֵפֹו
15	None	>MTXT/	sack	אַמְתַּחַת
15	None	>NTH	you	אַנְתָּה
15	None	>RK/	long	אָרֵךְ
15	None	>ML[	wither	אמל
15	None	BNJ/	Bani	בָּנִי
15	None	BLH[	be worn out	בלה
15	None	G<RH/	rebuke	גְּעָרָה
15	None	GZR=/	Gezer	גֶּזֶר
15	None	GLWT/	exile	גָּלוּת
15	None	GCN/	Goshen	גֹּשֶׁן
15	None	GLH/	basin	גֻּלָּה
15	None	GZZ[	shear	גזז
15	None	DCN/	fatness	דֶּשֶׁן
15	None	DGH/	fish	דָּגָה
15	None	DRJWC/	Darius	דָּרְיָוֶשׁ
15	None	DWC[	tread on	דושׁ
15	None	HW>	he	הוּא
15	None	HLL==[	be infatuated	הלל
15	None	ZW	<relative>	זוּ
15	None	XNWK/	Henoch	חֲנֹוךְ
15	None	XLQJH/	Hilkiah	חִלְקִיָּה
15	None	XMR=/	homer	חֹמֶר
15	None	XWH[	know	חוה
15	None	XYH[	divide	חצה
15	None	KLJL/	entire	כָּלִיל
15	None	KWRC/	Cyrus	כֹּורֶשׁ
15	None	MXJR/	price	מְחִיר
15	None	MPJBCT/	Mephibosheth	מְפִיבֹשֶׁת
15	None	MBVX/	trust	מִבְטָח
15	None	ML>JM/	installation	מִלֻּאִים
15	None	MQNH=/	purchase	מִקְנָה
15	None	MRJM/	Miriam	מִרְיָם
15	None	MLKJH/	Malkijah	מַלְכִּיָּה
15	None	M>ZNJM/	balances	מֹאזְנַיִם
15	None	NBWZR>DN/	Nebuzaradan	נְבוּזַרְאֲדָן
15	None	NHR/	river	נְהַר
15	None	NTNJH/	Nethaniah	נְתַנְיָה
15	None	NGN[	play harp	נגן
15	None	NZL[	flow	נזל
15	None	SL/	basket	סַל
15	None	SWPH/	storm	סוּפָה
15	None	<RPL/	darkness	עֲרָפֶל
15	None	<RW<R=/	Aroer	עֲרֹועֵר
15	None	<BR=/	Eber	עֵבֶר
15	None	<QB/	end	עֵקֶב
15	None	<M/	people	עַם
15	None	<CQ/	oppression	עֹשֶׁק
15	None	<YB[	hurt	עצב
15	None	<RH[	pour out	ערה
15	None	<RY[	tremble	ערץ
15	None	PRY=/	Perez	פֶּרֶץ
15	None	PYH[	open	פצה
15	None	YJY/	blossom	צִיץ
15	None	YQLG/	Ziklag	צִקְלַג
15	None	YMD/	span	צֶמֶד
15	None	YMT[	be silent	צמת
15	None	QHTJ/	Kohathite	קְהָתִי
15	None	QDD[	kneel down	קדד
15	None	RC<H/	guilt	רִשְׁעָה
15	None	RMX/	lance	רֹמַח
15	None	CRY/	swarming creatures	שֶׁרֶץ
15	None	CWR[	regard	שׁור
15	None	C<H[	look	שׁעה
15	None	FXWQ/	laughter	שְׂחֹוק
15	None	TRPJM/	teraphim	תְּרָפִים
15	None	TNWR/	furnace	תַּנּוּר
15	None	T>R/	form	תֹּאַר
14	None	>LJ<ZR/	Eliezer	אֱלִיעֶזֶר
14	None	>LK	these	אִלֵּךְ
14	None	>ZWR/	loin-cloth	אֵזֹור
14	None	>JTN/	ever-flowing	אֵיתָן
14	None	>LP==/	group of thousand	אֶלֶף
14	None	>NP[	be angry	אנף
14	None	>RG[	weave	ארג
14	None	BJT_XWRWN/	Beth Horon	בֵּית חֹורֹון
14	None	BR/	grain	בַּר
14	None	BRJ>/	fat	בָּרִיא
14	None	BHN/	thumb	בֹּהֶן
14	None	BWZ[	despise	בוז
14	None	G>LH/	right of buying back	גְּאֻלָּה
14	None	GRCM/	Gershom	גֵּרְשֹׁם
14	None	GBJ</	cup	גָּבִיעַ
14	None	GDR/	wall	גָּדֵר
14	None	G<R[	rebuke	גער
14	None	GRH[	stir	גרה
14	None	DGL/	banner	דֶּגֶל
14	None	DC>/	young grass	דֶּשֶׁא
14	None	DQ/	thin	דַּק
14	None	DT/	law	דָּת
14	None	ZMRJ/	Zimri	זִמְרִי
14	None	XT==/	Heth	חֵת
14	None	XD/	one	חַד
14	None	XKJM/	wise	חַכִּים
14	None	XLH/	bread	חַלָּה
14	None	XWTM/	seal	חֹותָם
14	None	XWCJ/	Hushai	חוּשַׁי
14	None	XKH[	wait	חכה
14	None	VWL[	cast	טול
14	None	JDWTWN=/	Jeduthun	יְדוּתוּן
14	None	JXJ>L/	Jehiel	יְחִיאֵל
14	None	JRB<L/	Jerub-Baal	יְרֻבַּעַל
14	None	JRCH/	possession	יְרֻשָּׁה
14	None	JBCH/	dry land	יַבָּשָׁה
14	None	JGWN/	grief	יָגֹון
14	None	JCR=/	uprightness	יֹשֶׁר
14	None	KHNH/	priesthood	כְּהֻנָּה
14	None	KRML/	orchard	כַּרְמֶל
14	None	KBD=/	liver	כָּבֵד
14	None	KBC[	subdue	כבשׁ
14	None	KRH[	dig	כרה
14	None	LBWC=/	clad	לָבוּשׁ
14	None	LWL>	unless	לוּלֵא
14	None	LWH=[	borrow	לוה
14	None	LWN[	murmur	לון
14	None	MKCWL/	stumbling block	מִכְשֹׁול
14	None	MJCK/	Meshach	מֵישַׁךְ
14	None	MMCLT/	dominion	מֶמְשֶׁלֶת
14	None	MXNJM/	Mahanaim	מַחֲנַיִם
14	None	MFKJL/	<uncertain>	מַשְׂכִּיל
14	None	MH	what	מָה
14	None	MWR[	exchange	מור
14	None	MXY[	break	מחץ
14	None	MRV[	pull off	מרט
14	None	NGJNH/	music	נְגִינָה
14	None	NTN>L/	Nethanel	נְתַנְאֵל
14	None	NTQ/	scab	נֶתֶק
14	None	NWH=/	pasture	נָוָה
14	None	<BD_NGW/	Abed-Nego	עֲבֵד נְגֹו
14	None	<BR/	opposite bank	עֲבַר
14	None	<DJ/	ornament	עֲדִי
14	None	<DN=/	Eden	עֵדֶן
14	None	<MRM/	Amram	עַמְרָם
14	None	<YL/	sluggish	עָצֵל
14	None	<QB=/	heel	עָקֵב
14	None	<KR[	taboo	עכר
14	None	<LL[	enter	עלל
14	None	P<LH/	work	פְּעֻלָּה
14	None	PSX=/	lame	פִּסֵּחַ
14	None	PRD/	mule	פֶּרֶד
14	None	PCXWR/	Pashhur	פַּשְׁחוּר
14	None	PT/	bit	פַּת
14	None	PGC[	meet	פגשׁ
14	None	PRS[	break	פרס
14	None	YJD/	hunting	צַיִד
14	None	Y<D/	marching	צַעַד
14	None	QBWRH/	grave	קְבוּרָה
14	None	QMX/	flour	קֶמַח
14	None	QRN/	horn	קֶרֶן
14	None	QRX===/	Kareah	קָרֵחַ
14	None	QBB[	curse	קבב
14	None	QYY[	cut	קצץ
14	None	QYR[	be short	קצר
14	None	R>C/	head	רֵאשׁ
14	None	RJQ=/	empty	רֵיק
14	None	RWH[	drink	רוה
14	None	RWX[	be spacious	רוח
14	None	C>LH/	request	שְׁאֵלָה
14	None	CDRK/	Shadrach	שַׁדְרַךְ
14	None	CLVN/	official	שָׁלְטָן
14	None	C>P[	gasp	שׁאף
14	None	CLX[	send	שׁלח
14	None	CLL[	plunder	שׁלל
14	None	CRY[	swarm	שׁרץ
14	None	FJX=/	concern	שִׂיחַ
14	None	TRYH/	Tirzah	תִּרְצָה
14	None	TXC/	tachash-skin	תַּחַשׁ
14	None	TN/	jackal	תַּן
14	None	TWR/	dove	תֹּור
14	None	TWCB/	sojourner	תֹּושָׁב
13	None	>BJNDB/	Abinadab	אֲבִינָדָב
13	None	>MRJH/	Amariah	אֲמַרְיָה
13	None	>LH===/	Elah	אֵלָה
13	None	>MWY/	Amoz	אָמֹוץ
13	None	>N>	pray	אָנָּא
13	None	>PH[	bake	אפה
13	None	BT=/	bath	בַּת
13	None	BXJR/	chosen	בָּחִיר
13	None	BRQ=/	Barak	בָּרָק
13	None	GWJH/	body	גְּוִיָּה
13	None	GRCNJ/	Gershonite	גֵּרְשֻׁנִּי
13	None	GB/	curve	גַּב
13	None	GDL/	greatness	גֹּדֶל
13	None	GW>/	interior	גֹּוא
13	None	DGWN/	Dagon	דָּגֹון
13	None	DQQ[	crush	דקק
13	None	HJKL/	palace	הֵיכַל
13	None	HWH==/	destruction	הַוָּה
13	None	HMM[	confuse	המם
13	None	WW/	hook	וָו
13	None	ZD/	insolent	זֵד
13	None	ZWB/	flux	זֹוב
13	None	ZMM[	ponder	זמם
13	None	XMWR=/	Hamor	חֲמֹור
13	None	XZQJH/	Hizkiah	חִזְקִיָּה
13	None	XRMWN/	Hermon	חֶרְמֹון
13	None	XNH/	Hannah	חַנָּה
13	None	XNWN/	gracious	חַנּוּן
13	None	XZH/	breast	חָזֶה
13	None	XNP/	alienated	חָנֵף
13	None	XR=/	noble one	חֹר
13	None	XBL[	take a pledge	חבל
13	None	XBQ[	embrace	חבק
13	None	VJV/	clay	טִיט
13	None	V<M/	taste	טַעַם
13	None	VHRH/	purification	טָהֳרָה
13	None	JBWL/	produce	יְבוּל
13	None	JMJNJ/	Benjaminite	יְמִינִי
13	None	J<J>L/	Jeiel	יְעִיאֵל
13	None	JZR<>LJ/	Jezreelite	יִזְרְעֵאלִי
13	None	J<ZR/	Jazer	יַעְזֵר
13	None	JLJD/	son	יָלִיד
13	None	KSP/	silver	כְּסַף
13	None	K<N	now	כְּעַן
13	None	KFB/	young ram	כֶּשֶׂב
13	None	KPR/	ransom	כֹּפֶר
13	None	LPJD/	torch	לַפִּיד
13	None	LL>T/	loops	לֻלָאֹת
13	None	MYLTJM/	cymbals	מְצִלְתַּיִם
13	None	MJK>L/	Michael	מִיכָאֵל
13	None	MR<H/	pasture	מִרְעֶה
13	None	MYX/	forehead	מֵצַח
13	None	MBWL/	deluge	מַבּוּל
13	None	MXMD/	desire	מַחְמָד
13	None	MXSWR/	need	מַחְסֹור
13	None	M<GL/	course	מַעְגָּל
13	None	M<RB/	sunset	מַעֲרָב
13	None	MRP>/	healing	מַרְפֵּא
13	None	MTNJH/	Mattaniah	מַתַּנְיָה
13	None	MDWN/	contention	מָדֹון
13	None	MN/	manna	מָן
13	None	NBLH/	stupidity	נְבָלָה
13	None	NTX/	piece	נֵתַח
13	None	N<JM/	pleasant	נָעִים
13	None	NYH[	decay	נצה
13	None	SNXRJB/	Sennacherib	סַנְחֵרִיב
13	None	SKN[	serve	סכן
13	None	STM[	stop up	סתם
13	None	<NTWT/	<town>	עֲנָתֹות
13	None	<DN/	time	עִדָּן
13	None	<MJNDB/	Amminadab	עַמִּינָדָב
13	None	<VH[	cover	עטה
13	None	PNJMH	within	פְּנִימָה
13	None	PL>/	miracle	פֶּלֶא
13	None	PQJD/	officer	פָּקִיד
13	None	P>R[	glorify	פאר
13	None	YPRD</	frog	צְפַרְדֵּעַ
13	None	YWB>/	Zobah	צֹובָא
13	None	YB>[	serve	צבא
13	None	YWQ[	oppress	צוק
13	None	YXQ[	laugh	צחק
13	None	QN/	nest	קֵן
13	None	QDJC/	holy	קַדִּישׁ
13	None	QL/	light	קַל
13	None	QW/	line	קָו
13	None	QYJN/	chief	קָצִין
13	None	QBL[	take	קבל
13	None	RMLJHW/	Remaliah	רְמַלְיָהוּ
13	None	RP>JM=/	Rephaim	רְפָאִים
13	None	RKB==/	Recab	רֵכָב
13	None	RXWM/	compassionate	רַחוּם
13	None	RG<[	stir	רגע
13	None	R<B[	be hungry	רעב
13	None	CXJN/	boil	שְׁחִין
13	None	CKM==/	Shechem	שְׁכֶם
13	None	CJRH/	song	שִׁירָה
13	None	CKWR/	drunk	שִׁכֹּור
13	None	CWV[	rove about	שׁוט
13	None	CXR[	look for	שׁחר
13	None	FRPH/	burning	שְׂרֵפָה
13	None	FGJ>/	much	שַׂגִּיא
13	None	FDJ/	open field	שָׂדַי
13	None	TXTWN/	lower	תַּחְתֹּון
13	None	T<R/	knife	תַּעַר
13	None	T>/	chamber	תָּא
12	None	>BJHW>/	Abihu	אֲבִיהוּא
12	None	>DMJ/	Edomite	אֲדֹמִי
12	None	>RMJ/	Aramean	אֲרַמִּי
12	None	>LJQJM/	Eliakim	אֶלְיָקִים
12	None	>DRT/	splendour	אַדֶּרֶת
12	None	>CQLWN/	Ashkelon	אַשְׁקְלֹון
12	None	>SJR/	prisoner	אָסִיר
12	None	>RNN=/	Ornan	אָרְנָן
12	None	>WPJR/	<land of gold>	אֹופִיר
12	None	>PH/	baker	אֹפֶה
12	None	>NX[	gasp	אנח
12	None	BJ	upon me	בִּי
12	None	BL<==/	Bela	בֶּלַע
12	None	BHRT/	<spot on skin>	בַּהֶרֶת
12	None	BRZLJ/	Barzillai	בַּרְזִלַּי
12	None	BWS[	tread down	בוס
12	None	B<H[	seek	בעה
12	None	GDWLH/	greatness	גְּדוּלָּה
12	None	GJXZJ/	Gehazi	גֵּיחֲזִי
12	None	GWG/	Gog	גֹּוג
12	None	GLGLT/	skull	גֻּלְגֹּלֶת
12	None	GZR[	cut	גזר
12	None	DBR=====/	Debir	דְּבִר
12	None	DB/	bear	דֹּב
12	None	HDD/	Hadad	הֲדַד
12	None	HLM	hither	הֲלֹם
12	None	H>X	aha	הֶאָח
12	None	HGR/	Hagar	הָגָר
12	None	HR=/	Mount Hor	הֹר
12	None	ZNWNJM/	fornication	זְנוּנִים
12	None	ZKRJ/	Zicri	זִכְרִי
12	None	ZBX=/	Zebah	זֶבַח
12	None	Z<M[	curse	זעם
12	None	XZW/	vision	חֱזוּ
12	None	XLJPH/	substitute	חֲלִיפָה
12	None	XCBJH/	Hashabiah	חֲשַׁבְיָה
12	None	XQR/	exploration	חֵקֶר
12	None	XBR/	companion	חָבֵר
12	None	XLQ=/	smooth	חָלָק
12	None	XNN/	Hanan	חָנָן
12	None	XWL[	dance	חול
12	None	XPH[	cover	חפה
12	None	XRY[	cut off	חרץ
12	None	VBX/	slaughtering	טֶבַח
12	None	JRX/	month	יֶרַח
12	None	J>JR/	Jair	יָאִיר
12	None	JXJD/	only one	יָחִיד
12	None	JKL[	be able	יכל
12	None	KTB/	writing	כְּתָב
12	None	KR/	ram	כַּר
12	None	LBNH/	brick	לְבֵנָה
12	None	LHB/	flame	לַהַב
12	None	LXY/	oppression	לַחַץ
12	None	LWH[	accompany	לוה
12	None	LJY[	boast	ליץ
12	None	MGDW/	Megiddo	מְגִדֹּו
12	None	MHWMH/	discomfiture	מְהוּמָה
12	None	MYWLH/	depth	מְצֹולָה
12	None	MCWBH/	apostasy	מְשׁוּבָה
12	None	MBXR/	choice	מִבְחָר
12	None	MYNPT/	turban	מִצְנֶפֶת
12	None	MQYW</	corner post	מִקְצֹועַ
12	None	MXLJ=/	Mahli	מַחְלִי
12	None	MS</	breaking	מַסַּע
12	None	M<LH/	ascent	מַעֲלֶה
12	None	MR>H=/	vision	מַרְאָה
12	None	MCQH/	butler, irrigated, drink	מַשְׁקֶה
12	None	MNH/	portion	מָנָה
12	None	MTWQ/	sweet	מָתֹוק
12	None	MWVH/	yoke-bar	מֹוטָה
12	None	MR==/	myrrh	מֹר
12	None	NBW=/	<mountain>	נְבֹו
12	None	NCK/	interest	נֶשֶׁךְ
12	None	NCP/	breeze	נֶשֶׁף
12	None	NPX[	blow	נפח
12	None	SGD[	bow	סגד
12	None	SLL[	build	סלל
12	None	S<D[	support	סעד
12	None	<MLQJ/	Amalekite	עֲמָלֵקִי
12	None	<NH=/	Anah	עֲנָה
12	None	<GLH/	cow	עֶגְלָה
12	None	<PRWN/	Ephron	עֶפְרֹון
12	None	<MJT/	fellow	עָמִית
12	None	<QR/	barren	עָקָר
12	None	YMX/	sprout	צֶמַח
12	None	YLMN</	Zalmunna	צַלְמֻנָּע
12	None	QDR/	Kedar	קֵדָר
12	None	QJNJ/	Kenite	קֵינִי
12	None	QDC===/	Kedesh	קֶדֶשׁ
12	None	QRB=/	approaching	קָרֵב
12	None	RJQ/	emptiness	רִיק
12	None	RQMH/	woven stuff	רִקְמָה
12	None	RGLJ/	on foot	רַגְלִי
12	None	R>H/	seer	רֹאֶה
12	None	R>C=/	poison	רֹאשׁ
12	None	RB<[	be square	רבע
12	None	RWT/	Ruth	רוּת
12	None	RMH[	throw	רמה
12	None	C>R/	rest	שְׁאָר
12	None	CLW=/	Shiloh	שִׁלֹו
12	None	CW>H/	trouble	שֹׁואָה
12	None	CM/	name	שֻׁם
12	None	CRQ[	whistle	שׁרק
12	None	TJKWN/	middle	תִּיכֹון
12	None	TMNH/	Timnah	תִּמְנָה
12	None	TNJN/	sea-monster	תַּנִּין
12	None	TMR/	date-palm	תָּמָר
12	None	TWCJH/	effect	תּוּשִׁיָּה
11	None	>BJRM/	Abiram	אֲבִירָם
11	None	>BL	verily	אֲבָל
11	None	>NXH/	sigh	אֲנָחָה
11	None	>JC_BCT/	Ish-Bosheth	אִישׁ בֹּשֶׁת
11	None	>SR/	obligation	אִסָּר
11	None	>TNN/	gift	אֶתְנַן
11	None	>JL/	fallow-buck	אַיָּל
11	None	>WDWT/	inducement	אֹודֹות
11	None	>WN/	generative power	אֹון
11	None	>RF[	betroth	ארשׂ
11	None	BNJH=/	Benaiah	בְּנָיָה
11	None	BRJ<H/	Beriah	בְּרִיעָה
11	None	BT_CB</	Bathsheba	בַּת שֶׁבַע
11	None	BDD/	alone	בָּדָד
11	None	BWZ/	contempt	בּוּז
11	None	BHL[	disturb	בהל
11	None	GL<DJ/	Gileadite	גִּלְעָדִי
11	None	GRH=/	cud	גֵּרָה
11	None	GZJT/	hewn stone	גָּזִית
11	None	G>L=[	pollute	גאל
11	None	DDN/	Dedan	דְּדָן
11	None	DJBN/	Dibon	דִּיבֹן
11	None	DQR[	pierce	דקר
11	None	DCN[	grow fat	דשׁן
11	None	HDP[	push	הדף
11	None	ZMN/	time	זְמָן
11	None	ZK/	pure	זַךְ
11	None	ZDWN/	insolence	זָדֹון
11	None	ZNB/	tail	זָנָב
11	None	ZH=	this	זֹה
11	None	ZLL[	be lavish	זלל
11	None	XMJCJT/	fifth part	חֲמִישִׁית
11	None	XNNJ/	Hanani	חֲנָנִי
11	None	XBR===/	Heber	חֶבֶר
11	None	XRVM/	magician	חַרְטֹם
11	None	XMY/	leaven	חָמֵץ
11	None	XMWT/	mother-in-law	חָמֹות
11	None	XNWN=/	Hanun	חָנוּן
11	None	XRM==/	Harim	חָרִם
11	None	XWX/	thorn	חֹוחַ
11	None	XBL=[	be corrupt	חבל
11	None	XNP[	alienate	חנף
11	None	XCQ[	love	חשׁק
11	None	VBX[	slaughter	טבח
11	None	VWX[	plaster	טוח
11	None	V<M[	taste	טעם
11	None	JD<JH/	Jedaiah	יְדַעְיָה
11	None	JD<NJ/	soothsayer	יִדְּעֹנִי
11	None	JPT/	Japheth	יֶפֶת
11	None	JWN=/	Greece	יָוָן
11	None	JW>X/	Joah	יֹואָח
11	None	JWZBD/	Jozabad	יֹוזָבָד
11	None	JTRT/	appendage of liver	יֹתֶרֶת
11	None	JQY[	awake	יקץ
11	None	JQR[	be precious	יקר
11	None	KBJR/	great	כַּבִּיר
11	None	KNS[	gather	כנס
11	None	LMK/	Lamech	לֶמֶךְ
11	None	LBJ>/	lion	לָבִיא
11	None	LHV[	devour	להט
11	None	MGWRJM/	neighbourhood	מְגוּרִים
11	None	MDJNH/	province	מְדִינָה
11	None	MXTH=/	terror	מְחִתָּה
11	None	MYD/	unapproachable	מְצָד
11	None	MLXMT/	war	מִלְחֶמֶת
11	None	MLKH=/	Milcah	מִלְכָּה
11	None	MC<NT/	support	מִשְׁעֶנֶת
11	None	MD/	cloth	מַד
11	None	MWR>/	fear	מֹורָא
11	None	NVWPTJ/	Netophathite	נְטֹופָתִי
11	None	NYJB/	pillar	נְצִיב
11	None	NBL=/	jar	נֵבֶל
11	None	NB<[	bubble	נבע
11	None	NGX[	gore	נגח
11	None	NXC[	divine	נחשׁ
11	None	N<R[	shake off	נער
11	None	NPL[	fall	נפל
11	None	NPQ[	go out	נפק
11	None	NCK[	bite	נשׁך
11	None	SPJR/	lapis lazuli	סַפִּיר
11	None	SLLH/	rampart	סֹלֲלָה
11	None	<RMH=/	heap	עֲרֵמָה
11	None	<QC/	crooked	עִקֵּשׁ
11	None	<RWM=/	shrewd	עָרוּם
11	None	<BDJH/	Obadiah	עֹבַדְיָה
11	None	<WLL/	child	עֹולֵל
11	None	<ZJ/	Uzzi	עֻזִּי
11	None	<WT[	be crooked	עות
11	None	<VP=[	faint	עטף
11	None	<ML[	labour	עמל
11	None	<NN[	appear	ענן
11	None	PTWX/	engraving	פִּתּוּחַ
11	None	PVR/	first-born	פֶּטֶר
11	None	PQX=/	Pekah	פֶּקַח
11	None	PDN/	field?	פַּדָּן
11	None	P>RN/	Paran	פָּארָן
11	None	PTJL/	cord	פָּתִיל
11	None	PWX[	wheeze	פוח
11	None	YBJ=/	gazelle	צְבִי
11	None	YLPXD/	Zelophehad	צְלָפְחָד
11	None	Y>Y>JM/	offspring	צֶאֱצָאִים
11	None	QNZ/	Kenaz	קְנַז
11	None	QDRWN/	Kidron	קִדְרֹון
11	None	QSM/	divination	קֶסֶם
